from_stop_id,to_stop_id,peak_fare,low_fare,senior_fare
00000000000000000000000000000008,00000000000000000000000000000004,7.80,7.80,7.80
00000000000000000000000000000004,00000000000000000000000000000007,7.80,7.80,7.80
00000000000000000000000000000007,00000000000000000000000000000004,7.80,7.80,7.80
00000000000000000000000000000003,00000000000000000000000000000008,7.80,7.80,7.80
00000000000000000000000000000008,00000000000000000000000000000003,7.80,7.80,7.80
00000000000000000000000000000003,00000000000000000000000000000007,7.80,7.80,7.80
00000000000000000000000000000007,00000000000000000000000000000003,7.80,7.80,7.80
00000000000000000000000000000004,00000000000000000000000000000012,8.45,8.45,8.45
00000000000000000000000000000012,00000000000000000000000000000004,8.45,8.45,8.45
00000000000000000000000000000004,00000000000000000000000000000011,8.45,8.45,8.45
00000000000000000000000000000011,00000000000000000000000000000004,8.45,8.45,8.45
00000000000000000000000000000004,00000000000000000000000000000010,8.45,8.45,8.45
00000000000000000000000000000010,00000000000000000000000000000004,8.45,8.45,8.45
00000000000000000000000000000004,00000000000000000000000000000009,8.45,8.45,8.45
00000000000000000000000000000009,00000000000000000000000000000004,8.45,8.45,8.45
00000000000000000000000000000003,00000000000000000000000000000012,8.45,8.45,8.45
00000000000000000000000000000012,00000000000000000000000000000003,8.45,8.45,8.45
00000000000000000000000000000003,00000000000000000000000000000011,8.45,8.45,8.45
00000000000000000000000000000011,00000000000000000000000000000003,8.45,8.45,8.45
00000000000000000000000000000003,00000000000000000000000000000010,8.45,8.45,8.45
00000000000000000000000000000010,00000000000000000000000000000003,8.45,8.45,8.45
00000000000000000000000000000003,00000000000000000000000000000009,8.45,8.45,8.45
00000000000000000000000000000009,00000000000000000000000000000003,8.45,8.45,8.45
00000000000000000000000000000004,0000000000000000000000000000000A,9.80,9.80,9.80
0000000000000000000000000000000A,00000000000000000000000000000004,9.80,9.80,9.80
00000000000000000000000000000004,0000000000000000000000000000000B,9.80,9.80,9.80
0000000000000000000000000000000B,00000000000000000000000000000004,9.80,9.80,9.80
00000000000000000000000000000003,0000000000000000000000000000000A,9.80,9.80,9.80
0000000000000000000000000000000A,00000000000000000000000000000003,9.80,9.80,9.80
00000000000000000000000000000003,0000000000000000000000000000000B,9.80,9.80,9.80
0000000000000000000000000000000B,00000000000000000000000000000003,9.80,9.80,9.80
00000000000000000000000000000004,0000000000000000000000000000000C,10.40,10.40,10.40
0000000000000000000000000000000C,00000000000000000000000000000004,10.40,10.40,10.40
00000000000000000000000000000003,0000000000000000000000000000000C,10.40,10.40,10.40
0000000000000000000000000000000C,00000000000000000000000000000003,10.40,10.40,10.40
0000000000000000000000000000000D,0000000000000000000000000000000F,3.80,3.80,3.80
0000000000000000000000000000000F,0000000000000000000000000000000D,3.80,3.80,3.80
0000000000000000000000000000000D,00000000000000000000000000000006,3.80,3.80,3.80
00000000000000000000000000000006,0000000000000000000000000000000D,3.80,3.80,3.80
0000000000000000000000000000000D,0000000000000000000000000000000E,3.80,3.80,3.80
0000000000000000000000000000000E,0000000000000000000000000000000D,3.80,3.80,3.80
00000000000000000000000000000005,0000000000000000000000000000000F,3.80,3.80,3.80
0000000000000000000000000000000F,00000000000000000000000000000005,3.80,3.80,3.80
00000000000000000000000000000005,00000000000000000000000000000006,3.80,3.80,3.80
00000000000000000000000000000006,00000000000000000000000000000005,3.80,3.80,3.80
00000000000000000000000000000005,0000000000000000000000000000000E,3.80,3.80,3.80
0000000000000000000000000000000E,00000000000000000000000000000005,3.80,3.80,3.80
0000000000000000000000000000000D,00000000000000000000000000000008,4.50,4.50,4.50
00000000000000000000000000000008,0000000000000000000000000000000D,4.50,4.50,4.50
0000000000000000000000000000000D,00000000000000000000000000000007,4.50,4.50,4.50
00000000000000000000000000000007,0000000000000000000000000000000D,4.50,4.50,4.50
00000000000000000000000000000005,00000000000000000000000000000008,4.50,4.50,4.50
00000000000000000000000000000008,00000000000000000000000000000005,4.50,4.50,4.50
00000000000000000000000000000005,00000000000000000000000000000007,4.50,4.50,4.50
00000000000000000000000000000007,00000000000000000000000000000005,4.50,4.50,4.50
0000000000000000000000000000000D,00000000000000000000000000000012,5.10,5.10,5.10
00000000000000000000000000000012,0000000000000000000000000000000D,5.10,5.10,5.10
0000000000000000000000000000000D,00000000000000000000000000000011,5.10,5.10,5.10
00000000000000000000000000000011,0000000000000000000000000000000D,5.10,5.10,5.10
0000000000000000000000000000000D,00000000000000000000000000000010,5.10,5.10,5.10
00000000000000000000000000000010,0000000000000000000000000000000D,5.10,5.10,5.10
0000000000000000000000000000000D,00000000000000000000000000000009,5.10,5.10,5.10
00000000000000000000000000000009,0000000000000000000000000000000D,5.10,5.10,5.10
00000000000000000000000000000005,00000000000000000000000000000012,5.10,5.10,5.10
00000000000000000000000000000012,00000000000000000000000000000005,5.10,5.10,5.10
00000000000000000000000000000005,00000000000000000000000000000011,5.10,5.10,5.10
00000000000000000000000000000011,00000000000000000000000000000005,5.10,5.10,5.10
00000000000000000000000000000005,00000000000000000000000000000010,5.10,5.10,5.10
00000000000000000000000000000010,00000000000000000000000000000005,5.10,5.10,5.10
00000000000000000000000000000005,00000000000000000000000000000009,5.10,5.10,5.10
00000000000000000000000000000009,00000000000000000000000000000005,5.10,5.10,5.10
0000000000000000000000000000000D,0000000000000000000000000000000A,6.45,6.45,6.45
0000000000000000000000000000000A,0000000000000000000000000000000D,6.45,6.45,6.45
0000000000000000000000000000000D,0000000000000000000000000000000B,6.45,6.45,6.45
0000000000000000000000000000000B,0000000000000000000000000000000D,6.45,6.45,6.45
00000000000000000000000000000005,0000000000000000000000000000000A,6.45,6.45,6.45
0000000000000000000000000000000A,00000000000000000000000000000005,6.45,6.45,6.45
00000000000000000000000000000005,0000000000000000000000000000000B,6.45,6.45,6.45
0000000000000000000000000000000B,00000000000000000000000000000005,6.45,6.45,6.45
0000000000000000000000000000000D,0000000000000000000000000000000C,7.10,7.10,7.10
0000000000000000000000000000000C,0000000000000000000000000000000D,7.10,7.10,7.10
00000000000000000000000000000005,0000000000000000000000000000000C,7.10,7.10,7.10
0000000000000000000000000000000C,00000000000000000000000000000005,7.10,7.10,7.10
0000000000000000000000000000000F,00000000000000000000000000000006,3.15,3.15,3.15
0000000000000000000000000000000F,0000000000000000000000000000000E,3.15,3.15,3.15
00000000000000000000000000000006,0000000000000000000000000000000F,3.15,3.15,3.15
00000000000000000000000000000006,0000000000000000000000000000000E,3.15,3.15,3.15
0000000000000000000000000000000E,0000000000000000000000000000000F,3.15,3.15,3.15
0000000000000000000000000000000E,00000000000000000000000000000006,3.15,3.15,3.15
0000000000000000000000000000000F,00000000000000000000000000000008,3.80,3.80,3.80
00000000000000000000000000000008,0000000000000000000000000000000F,3.80,3.80,3.80
0000000000000000000000000000000F,00000000000000000000000000000007,3.80,3.80,3.80
00000000000000000000000000000007,0000000000000000000000000000000F,3.80,3.80,3.80
00000000000000000000000000000006,00000000000000000000000000000008,3.80,3.80,3.80
00000000000000000000000000000008,00000000000000000000000000000006,3.80,3.80,3.80
00000000000000000000000000000006,00000000000000000000000000000007,3.80,3.80,3.80
00000000000000000000000000000007,00000000000000000000000000000006,3.80,3.80,3.80
0000000000000000000000000000000E,00000000000000000000000000000008,3.80,3.80,3.80
00000000000000000000000000000008,0000000000000000000000000000000E,3.80,3.80,3.80
0000000000000000000000000000000E,00000000000000000000000000000007,3.80,3.80,3.80
00000000000000000000000000000007,0000000000000000000000000000000E,3.80,3.80,3.80
0000000000000000000000000000000F,00000000000000000000000000000012,4.50,4.50,4.50
00000000000000000000000000000012,0000000000000000000000000000000F,4.50,4.50,4.50
0000000000000000000000000000000F,00000000000000000000000000000011,4.50,4.50,4.50
00000000000000000000000000000011,0000000000000000000000000000000F,4.50,4.50,4.50
0000000000000000000000000000000F,00000000000000000000000000000010,4.50,4.50,4.50
00000000000000000000000000000010,0000000000000000000000000000000F,4.50,4.50,4.50
0000000000000000000000000000000F,00000000000000000000000000000009,4.50,4.50,4.50
00000000000000000000000000000009,0000000000000000000000000000000F,4.50,4.50,4.50
00000000000000000000000000000006,00000000000000000000000000000012,4.50,4.50,4.50
00000000000000000000000000000012,00000000000000000000000000000006,4.50,4.50,4.50
00000000000000000000000000000006,00000000000000000000000000000011,4.50,4.50,4.50
00000000000000000000000000000011,00000000000000000000000000000006,4.50,4.50,4.50
00000000000000000000000000000006,00000000000000000000000000000010,4.50,4.50,4.50
00000000000000000000000000000010,00000000000000000000000000000006,4.50,4.50,4.50
00000000000000000000000000000006,00000000000000000000000000000009,4.50,4.50,4.50
00000000000000000000000000000009,00000000000000000000000000000006,4.50,4.50,4.50
0000000000000000000000000000000E,00000000000000000000000000000012,4.50,4.50,4.50
00000000000000000000000000000012,0000000000000000000000000000000E,4.50,4.50,4.50
0000000000000000000000000000000E,00000000000000000000000000000011,4.50,4.50,4.50
00000000000000000000000000000011,0000000000000000000000000000000E,4.50,4.50,4.50
0000000000000000000000000000000E,00000000000000000000000000000010,4.50,4.50,4.50
00000000000000000000000000000010,0000000000000000000000000000000E,4.50,4.50,4.50
0000000000000000000000000000000E,00000000000000000000000000000009,4.50,4.50,4.50
00000000000000000000000000000009,0000000000000000000000000000000E,4.50,4.50,4.50
0000000000000000000000000000000F,0000000000000000000000000000000A,5.80,5.80,5.80
0000000000000000000000000000000A,0000000000000000000000000000000F,5.80,5.80,5.80
0000000000000000000000000000000F,0000000000000000000000000000000B,5.80,5.80,5.80
0000000000000000000000000000000B,0000000000000000000000000000000F,5.80,5.80,5.80
00000000000000000000000000000006,0000000000000000000000000000000A,5.80,5.80,5.80
0000000000000000000000000000000A,00000000000000000000000000000006,5.80,5.80,5.80
00000000000000000000000000000006,0000000000000000000000000000000B,5.80,5.80,5.80
0000000000000000000000000000000B,00000000000000000000000000000006,5.80,5.80,5.80
0000000000000000000000000000000E,0000000000000000000000000000000A,5.80,5.80,5.80
0000000000000000000000000000000A,0000000000000000000000000000000E,5.80,5.80,5.80
0000000000000000000000000000000E,0000000000000000000000000000000B,5.80,5.80,5.80
0000000000000000000000000000000B,0000000000000000000000000000000E,5.80,5.80,5.80
0000000000000000000000000000000F,0000000000000000000000000000000C,6.45,6.45,6.45
0000000000000000000000000000000C,0000000000000000000000000000000F,6.45,6.45,6.45
00000000000000000000000000000006,0000000000000000000000000000000C,6.45,6.45,6.45
0000000000000000000000000000000C,00000000000000000000000000000006,6.45,6.45,6.45
0000000000000000000000000000000E,0000000000000000000000000000000C,6.45,6.45,6.45
0000000000000000000000000000000C,0000000000000000000000000000000E,6.45,6.45,6.45
00000000000000000000000000000008,00000000000000000000000000000007,3.15,3.15,3.15
00000000000000000000000000000007,00000000000000000000000000000008,3.15,3.15,3.15
00000000000000000000000000000008,00000000000000000000000000000012,3.80,3.80,3.80
00000000000000000000000000000012,00000000000000000000000000000008,3.80,3.80,3.80
00000000000000000000000000000008,00000000000000000000000000000011,3.80,3.80,3.80
00000000000000000000000000000011,00000000000000000000000000000008,3.80,3.80,3.80
00000000000000000000000000000008,00000000000000000000000000000010,3.80,3.80,3.80
00000000000000000000000000000010,00000000000000000000000000000008,3.80,3.80,3.80
00000000000000000000000000000008,00000000000000000000000000000009,3.80,3.80,3.80
00000000000000000000000000000009,00000000000000000000000000000008,3.80,3.80,3.80
00000000000000000000000000000007,00000000000000000000000000000012,3.80,3.80,3.80
00000000000000000000000000000012,00000000000000000000000000000007,3.80,3.80,3.80
00000000000000000000000000000007,00000000000000000000000000000011,3.80,3.80,3.80
00000000000000000000000000000011,00000000000000000000000000000007,3.80,3.80,3.80
00000000000000000000000000000007,00000000000000000000000000000010,3.80,3.80,3.80
00000000000000000000000000000010,00000000000000000000000000000007,3.80,3.80,3.80
00000000000000000000000000000007,00000000000000000000000000000009,3.80,3.80,3.80
00000000000000000000000000000009,00000000000000000000000000000007,3.80,3.80,3.80
00000000000000000000000000000008,0000000000000000000000000000000A,5.10,5.10,5.10
0000000000000000000000000000000A,00000000000000000000000000000008,5.10,5.10,5.10
00000000000000000000000000000008,0000000000000000000000000000000B,5.10,5.10,5.10
0000000000000000000000000000000B,00000000000000000000000000000008,5.10,5.10,5.10
00000000000000000000000000000007,0000000000000000000000000000000A,5.10,5.10,5.10
0000000000000000000000000000000A,00000000000000000000000000000007,5.10,5.10,5.10
00000000000000000000000000000007,0000000000000000000000000000000B,5.10,5.10,5.10
0000000000000000000000000000000B,00000000000000000000000000000007,5.10,5.10,5.10
00000000000000000000000000000008,0000000000000000000000000000000C,5.80,5.80,5.80
0000000000000000000000000000000C,00000000000000000000000000000008,5.80,5.80,5.80
00000000000000000000000000000007,0000000000000000000000000000000C,5.80,5.80,5.80
0000000000000000000000000000000C,00000000000000000000000000000007,5.80,5.80,5.80
00000000000000000000000000000012,00000000000000000000000000000011,3.15,3.15,3.15
00000000000000000000000000000012,00000000000000000000000000000010,3.15,3.15,3.15
00000000000000000000000000000012,00000000000000000000000000000009,3.15,3.15,3.15
00000000000000000000000000000011,00000000000000000000000000000012,3.15,3.15,3.15
00000000000000000000000000000011,00000000000000000000000000000010,3.15,3.15,3.15
00000000000000000000000000000011,00000000000000000000000000000009,3.15,3.15,3.15
00000000000000000000000000000010,00000000000000000000000000000012,3.15,3.15,3.15
00000000000000000000000000000010,00000000000000000000000000000011,3.15,3.15,3.15
00000000000000000000000000000010,00000000000000000000000000000009,3.15,3.15,3.15
00000000000000000000000000000009,00000000000000000000000000000012,3.15,3.15,3.15
00000000000000000000000000000009,00000000000000000000000000000011,3.15,3.15,3.15
00000000000000000000000000000009,00000000000000000000000000000010,3.15,3.15,3.15
00000000000000000000000000000012,0000000000000000000000000000000A,4.50,4.50,4.50
0000000000000000000000000000000A,00000000000000000000000000000012,4.50,4.50,4.50
00000000000000000000000000000012,0000000000000000000000000000000B,4.50,4.50,4.50
0000000000000000000000000000000B,00000000000000000000000000000012,4.50,4.50,4.50
00000000000000000000000000000011,0000000000000000000000000000000A,4.50,4.50,4.50
0000000000000000000000000000000A,00000000000000000000000000000011,4.50,4.50,4.50
00000000000000000000000000000011,0000000000000000000000000000000B,4.50,4.50,4.50
0000000000000000000000000000000B,00000000000000000000000000000011,4.50,4.50,4.50
00000000000000000000000000000010,0000000000000000000000000000000A,4.50,4.50,4.50
0000000000000000000000000000000A,00000000000000000000000000000010,4.50,4.50,4.50
00000000000000000000000000000010,0000000000000000000000000000000B,4.50,4.50,4.50
0000000000000000000000000000000B,00000000000000000000000000000010,4.50,4.50,4.50
00000000000000000000000000000009,0000000000000000000000000000000A,4.50,4.50,4.50
0000000000000000000000000000000A,00000000000000000000000000000009,4.50,4.50,4.50
00000000000000000000000000000009,0000000000000000000000000000000B,4.50,4.50,4.50
0000000000000000000000000000000B,00000000000000000000000000000009,4.50,4.50,4.50
00000000000000000000000000000012,0000000000000000000000000000000C,5.10,5.10,5.10
0000000000000000000000000000000C,00000000000000000000000000000012,5.10,5.10,5.10
00000000000000000000000000000011,0000000000000000000000000000000C,5.10,5.10,5.10
0000000000000000000000000000000C,00000000000000000000000000000011,5.10,5.10,5.10
00000000000000000000000000000010,0000000000000000000000000000000C,5.10,5.10,5.10
0000000000000000000000000000000C,00000000000000000000000000000010,5.10,5.10,5.10
00000000000000000000000000000009,0000000000000000000000000000000C,5.10,5.10,5.10
0000000000000000000000000000000C,00000000000000000000000000000009,5.10,5.10,5.10
0000000000000000000000000000000A,0000000000000000000000000000000B,3.15,3.15,3.15
0000000000000000000000000000000B,0000000000000000000000000000000A,3.15,3.15,3.15
0000000000000000000000000000000A,0000000000000000000000000000000C,3.80,3.80,3.80
0000000000000000000000000000000C,0000000000000000000000000000000A,3.80,3.80,3.80
0000000000000000000000000000000B,0000000000000000000000000000000C,3.80,3.80,3.80
0000000000000000000000000000000C,0000000000000000000000000000000B,3.80,3.80,3.80
